Title,Price,Area,Floor
იყიდება 2 ოთახიანი ბინა ბაგებში,83 000,75m²,2
იყიდება 3 ოთახიანი ბინა ბაგებში,58 000,85m²,3
იყიდება 3 ოთახიანი ბინა ბაგებში,110 000,110m²,3
იყიდება 2 ოთახიანი ბინა ბაგებში,63 000,57m²,2
იყიდება 6 ოთახიანი ბინა ბაგებში,199 000,300m²,6
იყიდება მიწის ნაკვეთი სადგური მეტეხში,7 220,1605m²,N/A
იყიდება 3 ოთახიანი ბინა ბაგებში,88 000,87m²,3
იყიდება 2 ოთახიანი ბინა ბაგებში,71 000,65m²,2
იყიდება 5 ოთახიანი ბინა ბაგებში,165 000,132m²,5
იყიდება 3 ოთახიანი ბინა ბაგებში,103 000,80m²,3
იყიდება 2 ოთახიანი ბინა ბაგებში,72 800,56m²,2
იყიდება 4 ოთახიანი ბინა ბაგებში,138 000,95m²,4
იყიდება 3 ოთახიანი ბინა ბაგებში,210 000,136m²,3
იყიდება 3 ოთახიანი ბინა ბაგებში,97 000,100m²,3
იყიდება 3 ოთახიანი ბინა ბაგებში,94 000,100m²,3
იყიდება 2 ოთახიანი ბინა ბაგებში,59 900,57m²,2
იყიდება 6 ოთახიანი ბინა ბაგებში,199 000,300m²,6
იყიდება 3 ოთახიანი ბინა ბაგებში,100 000,80m²,3
იყიდება 2 ოთახიანი ბინა ბაგებში,65 000,60m²,2
იყიდება 4 ოთახიანი ბინა ბაგებში,79 000,145m²,4
იყიდება 2 ოთახიანი ბინა ბაგებში,65 000,60m²,2
იყიდება 3 ოთახიანი ბინა ბაგებში,95 000,175m²,3
იყიდება 1 ოთახიანი ბინა ბაგებში,33 000,49m²,1
იყიდება კერძო სახლი არაგვისპირში,120 000,288m²,8
იყიდება 3 ოთახიანი ბინა ბაგებში,63 000,70m²,3
